topic,category,definition,relevant,relevancy_s1,relevancy_s2,relevancy_s4,relevancy_s5,relevancy_s7,relevancy_s8,relevancy_s9,relevancy_s10,relevancy_s11,relevancy_s12,relevancy_s14,relevancy_s15,relevancy_s16,relevancy_s17,relevancy_s18,relevancy_s19,relevancy_s21,relevancy_s28,relevancy_s29,relevancy_s30,relevancy_s31,relevancy_s32,relevancy_s33,relevancy_s34,design_s1,design_s2,design_s4,design_s5,design_s7,design_s8,design_s9,design_s10,design_s11,design_s12,design_s14,design_s15,design_s16,design_s17,design_s18,design_s19,design_s21,design_s28,design_s29,design_s30,design_s31,design_s32,design_s33,design_s34,order_s1,order_s2,order_s4,order_s5,order_s7,order_s8,order_s9,order_s10,order_s11,order_s12,order_s14,order_s15,order_s16,order_s17,order_s18,order_s19,order_s21,order_s28,order_s29,order_s30,order_s31,order_s32,order_s33,order_s34
CAR,Power,Mentions engine power as the top / one of the top concern(s),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Steering,Mentions steering as a concern,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Range,Mentions the range / percentage of concerns,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Number,Mentions the number of people concerned,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Problems,Mentions that there were many problems,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
CAR,Unknown,Participant does not remember,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Decluttered,Focused,Cluttered,Focused,Cluttered,Cluttered,Decluttered,Decluttered,Cluttered,Decluttered,Cluttered,Focused,Decluttered,Cluttered,Decluttered,Decluttered,Focused,Focused,Focused,Focused,Focused,Cluttered,Cluttered,Decluttered,4,3,6,3,5,6,1,4,5,1,6,3,4,5,1,4,3,2,2,2,2,5,6,1
