topic,category,definition,is_topic_relevant,did_participant_mention_this,ID,design,ID2,order
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s1,Decluttered,1,4
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s2,Focused,2,3
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s4,Cluttered,4,6
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s5,Focused,5,3
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s7,Cluttered,7,5
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s8,Cluttered,8,6
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s9,Decluttered,9,1
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s10,Decluttered,10,4
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s11,Cluttered,11,5
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s12,Decluttered,12,1
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,1,s14,Cluttered,14,6
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s15,Focused,15,3
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s16,Decluttered,16,4
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s17,Cluttered,17,5
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s18,Decluttered,18,1
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s19,Decluttered,19,4
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s21,Focused,21,3
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s28,Focused,28,2
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s29,Focused,29,2
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s30,Focused,30,2
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s31,Focused,31,2
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s32,Cluttered,32,5
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s33,Cluttered,33,6
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s34,Decluttered,34,1
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,1,s1,Decluttered,1,4
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s2,Focused,2,3
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s4,Cluttered,4,6
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s5,Focused,5,3
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s7,Cluttered,7,5
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s8,Cluttered,8,6
