,topic,category,definition,is_topic_relevant,did_participant_mention_this,ID,design,order
1,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s1,Decluttered,4
2,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s2,Focused,3
3,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s4,Cluttered,6
4,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s5,Focused,3
5,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s7,Cluttered,5
6,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s8,Cluttered,6
7,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s9,Decluttered,1
8,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s10,Decluttered,4
9,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s11,Cluttered,5
10,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s12,Decluttered,1
11,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,1,s14,Cluttered,6
12,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s15,Focused,3
13,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s16,Decluttered,4
14,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s17,Cluttered,5
15,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s18,Decluttered,1
16,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s19,Decluttered,4
17,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s21,Focused,3
18,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s28,Focused,2
19,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s29,Focused,2
20,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s30,Focused,2
21,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s31,Focused,2
22,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s32,Cluttered,5
23,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s33,Cluttered,6
24,CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,s34,Decluttered,1
25,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,1,s1,Decluttered,4
26,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s2,Focused,3
27,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s4,Cluttered,6
28,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s5,Focused,3
29,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s7,Cluttered,5
30,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s8,Cluttered,6
31,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,1,s9,Decluttered,1
32,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s10,Decluttered,4
33,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s11,Cluttered,5
34,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s12,Decluttered,1
35,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s14,Cluttered,6
36,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s15,Focused,3
37,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s16,Decluttered,4
38,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s17,Cluttered,5
39,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s18,Decluttered,1
40,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s19,Decluttered,4
41,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s21,Focused,3
42,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s28,Focused,2
43,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s29,Focused,2
44,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s30,Focused,2
45,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s31,Focused,2
46,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s32,Cluttered,5
