participant,topic,category,sentiment,code,cluttered,decluttered,focused
1,Prison,aesthetic,positive,likes color,1,0,0
1,Prison,clarity,positive,clear color,0,0,0
1,Prison,aesthetic,negative,disliked color,0,0,0
1,Prison,aesthetic,negative,not enough colors,0,0,0
1,Prison,aesthetic,negative,too many colors,0,0,0
1,Prison,aesthetic,positive,likes aesthetic,0,1,0
1,Prison,clarity,positive,easy to read,0,1,0
1,Prison,professionalism,positive,professional,0,0,0
1,Prison,aesthetic,negative,disliked aesthetic,1,0,1
1,Prison,professionalism,negative,unprofessional,0,0,0
1,Prison,aesthetic,negative,cluttered,1,0,0
1,Prison,aesthetic,negative,boring,0,0,0
1,Prison,clarity,positive,likes info,0,0,0
1,Prison,clarity,positive,clear info,0,0,0
1,Prison,clarity,positive,has purpose,0,0,0
1,Prison,clarity,negative,disliked info,0,0,0
1,Prison,clarity,negative,no purpose,0,0,0
1,Prison,clarity,negative,not enough info,0,0,0
1,Prison,clarity,negative,too much info,0,0,0
1,Prison,ignoreThis,ignoreThis,likes emphasis,0,0,1
1,Prison,ignoreThis,ignoreThis,disliked emphasis,0,0,1
1,News,aesthetic,positive,likes color,0,0,1
1,News,clarity,positive,clear color,0,0,0
1,News,aesthetic,negative,disliked color,0,0,0
1,News,aesthetic,negative,not enough colors,0,0,0
1,News,aesthetic,negative,too many colors,0,0,0
1,News,aesthetic,positive,likes aesthetic,0,0,1
1,News,clarity,positive,easy to read,0,0,0
1,News,professionalism,positive,professional,0,0,0
1,News,aesthetic,negative,disliked aesthetic,1,0,0
1,News,professionalism,negative,unprofessional,0,0,0
1,News,aesthetic,negative,cluttered,1,0,0
1,News,aesthetic,negative,boring,0,0,0
1,News,clarity,positive,likes info,0,0,1
1,News,clarity,positive,clear info,0,0,1
1,News,clarity,positive,has purpose,0,0,0
1,News,clarity,negative,disliked info,1,1,0
1,News,clarity,negative,no purpose,0,1,0
1,News,clarity,negative,not enough info,0,0,0
1,News,clarity,negative,too much info,1,0,0
1,News,ignoreThis,ignoreThis,likes emphasis,0,0,1
1,News,ignoreThis,ignoreThis,disliked emphasis,0,0,0
1,Tires,aesthetic,positive,likes color,0,0,0
1,Tires,clarity,positive,clear color,0,0,0
1,Tires,aesthetic,negative,disliked color,0,0,0
1,Tires,aesthetic,negative,not enough colors,0,0,0
1,Tires,aesthetic,negative,too many colors,0,0,0
1,Tires,aesthetic,positive,likes aesthetic,0,0,0
1,Tires,clarity,positive,easy to read,0,0,0
1,Tires,professionalism,positive,professional,0,0,0
1,Tires,aesthetic,negative,disliked aesthetic,1,1,1
1,Tires,professionalism,negative,unprofessional,0,0,0
1,Tires,aesthetic,negative,cluttered,0,0,0
1,Tires,aesthetic,negative,boring,0,0,0
1,Tires,clarity,positive,likes info,0,0,0
1,Tires,clarity,positive,clear info,0,0,0
1,Tires,clarity,positive,has purpose,0,0,0
1,Tires,clarity,negative,disliked info,0,0,0
1,Tires,clarity,negative,no purpose,0,0,0
1,Tires,clarity,negative,not enough info,0,0,0
1,Tires,clarity,negative,too much info,0,0,0
1,Tires,ignoreThis,ignoreThis,likes emphasis,0,0,0
1,Tires,ignoreThis,ignoreThis,disliked emphasis,0,0,0
1,Holiday,aesthetic,positive,likes color,1,0,0
1,Holiday,clarity,positive,clear color,0,0,0
1,Holiday,aesthetic,negative,disliked color,0,0,1
1,Holiday,aesthetic,negative,not enough colors,0,0,0
1,Holiday,aesthetic,negative,too many colors,0,0,0
1,Holiday,aesthetic,positive,likes aesthetic,0,0,0
1,Holiday,clarity,positive,easy to read,0,0,0
1,Holiday,professionalism,positive,professional,0,0,0
1,Holiday,aesthetic,negative,disliked aesthetic,1,0,0
1,Holiday,professionalism,negative,unprofessional,0,0,0
1,Holiday,aesthetic,negative,cluttered,0,0,0
1,Holiday,aesthetic,negative,boring,0,0,0
1,Holiday,clarity,positive,likes info,0,0,0
1,Holiday,clarity,positive,clear info,0,0,0
1,Holiday,clarity,positive,has purpose,0,0,0
1,Holiday,clarity,negative,disliked info,0,0,0
1,Holiday,clarity,negative,no purpose,0,0,0
1,Holiday,clarity,negative,not enough info,0,0,0
1,Holiday,clarity,negative,too much info,0,0,0
1,Holiday,ignoreThis,ignoreThis,likes emphasis,0,0,0
1,Holiday,ignoreThis,ignoreThis,disliked emphasis,0,0,0
1,Car,aesthetic,positive,likes color,0,0,0
1,Car,clarity,positive,clear color,0,0,0
1,Car,aesthetic,negative,disliked color,0,0,0
1,Car,aesthetic,negative,not enough colors,0,0,0
1,Car,aesthetic,negative,too many colors,0,0,0
1,Car,aesthetic,positive,likes aesthetic,0,1,1
1,Car,clarity,positive,easy to read,0,1,0
1,Car,professionalism,positive,professional,0,0,0
1,Car,aesthetic,negative,disliked aesthetic,1,0,0
1,Car,professionalism,negative,unprofessional,0,0,0
1,Car,aesthetic,negative,cluttered,0,0,0
1,Car,aesthetic,negative,boring,0,0,0
1,Car,clarity,positive,likes info,0,0,0
1,Car,clarity,positive,clear info,0,0,0
1,Car,clarity,positive,has purpose,0,0,0
1,Car,clarity,negative,disliked info,0,0,0
1,Car,clarity,negative,no purpose,0,0,0
1,Car,clarity,negative,not enough info,0,0,0
1,Car,clarity,negative,too much info,0,0,0
1,Car,ignoreThis,ignoreThis,likes emphasis,0,0,1
1,Car,ignoreThis,ignoreThis,disliked emphasis,0,0,0
1,Plant,aesthetic,positive,likes color,0,0,0
1,Plant,clarity,positive,clear color,0,0,0
1,Plant,aesthetic,negative,disliked color,0,0,0
1,Plant,aesthetic,negative,not enough colors,0,0,0
1,Plant,aesthetic,negative,too many colors,0,0,0
1,Plant,aesthetic,positive,likes aesthetic,0,0,0
1,Plant,clarity,positive,easy to read,0,0,0
1,Plant,professionalism,positive,professional,0,0,0
1,Plant,aesthetic,negative,disliked aesthetic,0,0,0
1,Plant,professionalism,negative,unprofessional,0,0,0
1,Plant,aesthetic,negative,cluttered,0,0,0
1,Plant,aesthetic,negative,boring,0,0,0
1,Plant,clarity,positive,likes info,0,0,0
1,Plant,clarity,positive,clear info,0,0,0
1,Plant,clarity,positive,has purpose,0,0,0
1,Plant,clarity,negative,disliked info,0,0,0
1,Plant,clarity,negative,no purpose,0,0,0
1,Plant,clarity,negative,not enough info,0,0,0
1,Plant,clarity,negative,too much info,0,0,0
1,Plant,ignoreThis,ignoreThis,likes emphasis,0,0,0
1,Plant,ignoreThis,ignoreThis,disliked emphasis,0,0,0
2,Prison,aesthetic,positive,likes color,0,0,1
2,Prison,clarity,positive,clear color,0,0,0
2,Prison,aesthetic,negative,disliked color,0,0,0
2,Prison,aesthetic,negative,not enough colors,0,0,0
2,Prison,aesthetic,negative,too many colors,0,0,0
2,Prison,aesthetic,positive,likes aesthetic,0,0,1
2,Prison,clarity,positive,easy to read,0,0,0
2,Prison,professionalism,positive,professional,0,0,0
2,Prison,aesthetic,negative,disliked aesthetic,1,0,0
2,Prison,professionalism,negative,unprofessional,0,0,0
2,Prison,aesthetic,negative,cluttered,0,0,0
2,Prison,aesthetic,negative,boring,0,0,0
2,Prison,clarity,positive,likes info,0,0,0
2,Prison,clarity,positive,clear info,0,0,0
2,Prison,clarity,positive,has purpose,0,0,0
2,Prison,clarity,negative,disliked info,0,0,0
2,Prison,clarity,negative,no purpose,0,0,0
2,Prison,clarity,negative,not enough info,0,0,0
2,Prison,clarity,negative,too much info,0,0,0
2,Prison,ignoreThis,ignoreThis,likes emphasis,0,0,1
2,Prison,ignoreThis,ignoreThis,disliked emphasis,0,0,0
2,News,aesthetic,positive,likes color,0,0,1
2,News,clarity,positive,clear color,0,0,0
2,News,aesthetic,negative,disliked color,0,0,0
2,News,aesthetic,negative,not enough colors,0,0,0
2,News,aesthetic,negative,too many colors,0,0,0
2,News,aesthetic,positive,likes aesthetic,0,1,1
2,News,clarity,positive,easy to read,0,1,0
2,News,professionalism,positive,professional,0,0,0
2,News,aesthetic,negative,disliked aesthetic,1,0,0
2,News,professionalism,negative,unprofessional,0,0,0
2,News,aesthetic,negative,cluttered,1,0,0
2,News,aesthetic,negative,boring,0,0,0
2,News,clarity,positive,likes info,0,0,0
2,News,clarity,positive,clear info,0,0,0
2,News,clarity,positive,has purpose,0,0,0
2,News,clarity,negative,disliked info,0,0,0
2,News,clarity,negative,no purpose,0,0,0
2,News,clarity,negative,not enough info,0,0,0
2,News,clarity,negative,too much info,0,0,0
2,News,ignoreThis,ignoreThis,likes emphasis,0,0,1
2,News,ignoreThis,ignoreThis,disliked emphasis,0,0,0
2,Tires,aesthetic,positive,likes color,0,0,0
2,Tires,clarity,positive,clear color,0,0,0
2,Tires,aesthetic,negative,disliked color,0,0,0
2,Tires,aesthetic,negative,not enough colors,0,0,0
2,Tires,aesthetic,negative,too many colors,0,0,0
2,Tires,aesthetic,positive,likes aesthetic,0,1,0
2,Tires,clarity,positive,easy to read,0,1,0
2,Tires,professionalism,positive,professional,0,0,0
2,Tires,aesthetic,negative,disliked aesthetic,1,1,0
2,Tires,professionalism,negative,unprofessional,0,0,0
2,Tires,aesthetic,negative,cluttered,1,0,0
2,Tires,aesthetic,negative,boring,0,1,0
2,Tires,clarity,positive,likes info,0,0,1
2,Tires,clarity,positive,clear info,0,0,0
2,Tires,clarity,positive,has purpose,0,0,0
2,Tires,clarity,negative,disliked info,0,0,0
2,Tires,clarity,negative,no purpose,0,0,0
2,Tires,clarity,negative,not enough info,0,0,0
2,Tires,clarity,negative,too much info,0,0,0
2,Tires,ignoreThis,ignoreThis,likes emphasis,0,0,0
2,Tires,ignoreThis,ignoreThis,disliked emphasis,0,0,0
2,Holiday,aesthetic,positive,likes color,1,0,1
2,Holiday,clarity,positive,clear color,0,0,0
2,Holiday,aesthetic,negative,disliked color,0,0,0
2,Holiday,aesthetic,negative,not enough colors,0,0,0
2,Holiday,aesthetic,negative,too many colors,0,0,0
2,Holiday,aesthetic,positive,likes aesthetic,0,0,0
2,Holiday,clarity,positive,easy to read,0,0,0
2,Holiday,professionalism,positive,professional,0,0,0
2,Holiday,aesthetic,negative,disliked aesthetic,1,0,0
2,Holiday,professionalism,negative,unprofessional,0,0,0
2,Holiday,aesthetic,negative,cluttered,0,0,0
2,Holiday,aesthetic,negative,boring,0,0,0
2,Holiday,clarity,positive,likes info,0,0,0
2,Holiday,clarity,positive,clear info,0,0,0
2,Holiday,clarity,positive,has purpose,0,0,0
2,Holiday,clarity,negative,disliked info,0,0,0
2,Holiday,clarity,negative,no purpose,0,0,0
2,Holiday,clarity,negative,not enough info,0,0,0
2,Holiday,clarity,negative,too much info,0,0,0
2,Holiday,ignoreThis,ignoreThis,likes emphasis,0,0,0
2,Holiday,ignoreThis,ignoreThis,disliked emphasis,0,0,0
2,Car,aesthetic,positive,likes color,0,0,0
2,Car,clarity,positive,clear color,0,0,0
2,Car,aesthetic,negative,disliked color,1,0,0
2,Car,aesthetic,negative,not enough colors,0,0,0
2,Car,aesthetic,negative,too many colors,0,0,0
2,Car,aesthetic,positive,likes aesthetic,0,0,0
2,Car,clarity,positive,easy to read,0,0,0
2,Car,professionalism,positive,professional,0,0,0
2,Car,aesthetic,negative,disliked aesthetic,0,0,0
2,Car,professionalism,negative,unprofessional,0,0,0
2,Car,aesthetic,negative,cluttered,0,0,0
2,Car,aesthetic,negative,boring,0,0,0
2,Car,clarity,positive,likes info,0,0,0
2,Car,clarity,positive,clear info,0,0,0
2,Car,clarity,positive,has purpose,0,0,0
2,Car,clarity,negative,disliked info,0,1,0
2,Car,clarity,negative,no purpose,0,1,0
2,Car,clarity,negative,not enough info,0,0,0
2,Car,clarity,negative,too much info,0,0,0
2,Car,ignoreThis,ignoreThis,likes emphasis,0,0,0
2,Car,ignoreThis,ignoreThis,disliked emphasis,0,0,0
2,Plant,aesthetic,positive,likes color,0,0,0
2,Plant,clarity,positive,clear color,0,0,0
2,Plant,aesthetic,negative,disliked color,0,0,0
2,Plant,aesthetic,negative,not enough colors,0,0,0
2,Plant,aesthetic,negative,too many colors,0,0,0
2,Plant,aesthetic,positive,likes aesthetic,0,0,0
2,Plant,clarity,positive,easy to read,0,0,0
2,Plant,professionalism,positive,professional,0,0,0
2,Plant,aesthetic,negative,disliked aesthetic,0,0,0
2,Plant,professionalism,negative,unprofessional,0,0,0
2,Plant,aesthetic,negative,cluttered,0,0,0
2,Plant,aesthetic,negative,boring,0,0,0
2,Plant,clarity,positive,likes info,0,0,0
2,Plant,clarity,positive,clear info,0,0,0
2,Plant,clarity,positive,has purpose,0,0,0
2,Plant,clarity,negative,disliked info,0,0,0
2,Plant,clarity,negative,no purpose,0,0,0
2,Plant,clarity,negative,not enough info,0,0,0
2,Plant,clarity,negative,too much info,0,0,0
2,Plant,ignoreThis,ignoreThis,likes emphasis,0,0,0
2,Plant,ignoreThis,ignoreThis,disliked emphasis,0,0,0
4,Prison,aesthetic,positive,likes color,1,0,0
4,Prison,clarity,positive,clear color,0,0,0
4,Prison,aesthetic,negative,disliked color,0,0,0
4,Prison,aesthetic,negative,not enough colors,0,0,0
4,Prison,aesthetic,negative,too many colors,0,0,0
4,Prison,aesthetic,positive,likes aesthetic,0,1,0
4,Prison,clarity,positive,easy to read,0,0,0
4,Prison,professionalism,positive,professional,0,1,0
4,Prison,aesthetic,negative,disliked aesthetic,1,0,0
4,Prison,professionalism,negative,unprofessional,0,0,0
4,Prison,aesthetic,negative,cluttered,0,0,0
4,Prison,aesthetic,negative,boring,0,0,0
4,Prison,clarity,positive,likes info,0,0,0
4,Prison,clarity,positive,clear info,0,0,0
4,Prison,clarity,positive,has purpose,0,0,0
4,Prison,clarity,negative,disliked info,0,0,0
4,Prison,clarity,negative,no purpose,0,0,0
4,Prison,clarity,negative,not enough info,0,0,0
4,Prison,clarity,negative,too much info,0,0,0
