Graph,Category,Definition,Relevant,s1,s2,s4,s5,s7,s8,s9,s10,s11,s12,s14,s15,s16,s17,s18,s19,s21,s28,s29,s30,s31,s32,s33,s34
CAR,Noise,Mentions engine noise as the top / one of the top concern(s),1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0
CAR,Power,Mentions engine power as the top / one of the top concern(s),0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CAR,Steering,Mentions steering as a concern,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Audio / Entertainment,Mentions audio and the entertainment system as a concern,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Range,Mentions the range / percentage of concerns,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CAR,Number,Mentions the number of people concerned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAR,Problems,Mentions that there were many problems,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAR,Unknown,Participant does not remember,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Other,None of the above conclusions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOLIDAY,Men,Mentions that men shop more in later months (November and December),1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
