Helper,Subject,Topic,Category,Question,Cluttered,Decluttered,Focused
1Prison,1,Prison,COLOR,likes color,1,0,0
1Prison,1,Prison,COLOR,clear color,0,0,0
1Prison,1,Prison,COLOR,disliked color,0,0,0
1Prison,1,Prison,COLOR,not enough colors,0,0,0
1Prison,1,Prison,COLOR,too many colors,0,0,0
1Prison,1,Prison,AESTHETIC,likes aesthetic,0,1,1
1Prison,1,Prison,AESTHETIC,easy to read,0,1,0
1Prison,1,Prison,AESTHETIC,professional,0,0,0
1Prison,1,Prison,AESTHETIC,disliked aesthetic,1,0,0
1Prison,1,Prison,AESTHETIC,unprofessional,0,0,0
1Prison,1,Prison,AESTHETIC,cluttered,1,0,0
1Prison,1,Prison,AESTHETIC,boring,0,0,0
1Prison,1,Prison,INFORMATION,likes info,0,0,0
1Prison,1,Prison,INFORMATION,clear info,0,0,0
1Prison,1,Prison,INFORMATION,has purpose,0,0,0
1Prison,1,Prison,INFORMATION,disliked info,0,0,0
1Prison,1,Prison,INFORMATION,no purpose,0,0,0
1Prison,1,Prison,INFORMATION,not enough info,0,0,0
1Prison,1,Prison,INFORMATION,too much info,0,0,0
1Prison,1,Prison,EMPHASIS,likes emphasis,0,0,1
1Prison,1,Prison,EMPHASIS,disliked emphasis,0,0,1
1News,1,News,COLOR,likes color,0,0,1
1News,1,News,COLOR,clear color,0,0,0
1News,1,News,COLOR,disliked color,0,0,0
1News,1,News,COLOR,not enough colors,0,0,0
1News,1,News,COLOR,too many colors,0,0,0
1News,1,News,AESTHETIC,likes aesthetic,0,0,0
1News,1,News,AESTHETIC,easy to read,0,0,0
1News,1,News,AESTHETIC,professional,0,0,0
1News,1,News,AESTHETIC,disliked aesthetic,1,0,0
1News,1,News,AESTHETIC,unprofessional,0,0,0
1News,1,News,AESTHETIC,cluttered,1,0,0
1News,1,News,AESTHETIC,boring,0,0,0
1News,1,News,INFORMATION,likes info,0,0,1
1News,1,News,INFORMATION,clear info,0,0,1
1News,1,News,INFORMATION,has purpose,0,0,0
1News,1,News,INFORMATION,disliked info,1,1,0
1News,1,News,INFORMATION,no purpose,0,1,0
1News,1,News,INFORMATION,not enough info,0,0,0
1News,1,News,INFORMATION,too much info,1,0,0
1News,1,News,EMPHASIS,likes emphasis,0,0,1
1News,1,News,EMPHASIS,disliked emphasis,0,0,0
1Tires,1,Tires,COLOR,likes color,0,0,0
1Tires,1,Tires,COLOR,clear color,0,0,0
1Tires,1,Tires,COLOR,disliked color,0,0,0
1Tires,1,Tires,COLOR,not enough colors,0,0,0
1Tires,1,Tires,COLOR,too many colors,0,0,0
1Tires,1,Tires,AESTHETIC,likes aesthetic,0,0,0
1Tires,1,Tires,AESTHETIC,easy to read,0,0,0
1Tires,1,Tires,AESTHETIC,professional,0,0,0
1Tires,1,Tires,AESTHETIC,disliked aesthetic,1,1,1
1Tires,1,Tires,AESTHETIC,unprofessional,0,0,0
1Tires,1,Tires,AESTHETIC,cluttered,0,0,0
1Tires,1,Tires,AESTHETIC,boring,0,0,0
1Tires,1,Tires,INFORMATION,likes info,0,0,0
1Tires,1,Tires,INFORMATION,clear info,0,0,0
1Tires,1,Tires,INFORMATION,has purpose,0,0,0
1Tires,1,Tires,INFORMATION,disliked info,0,0,0
1Tires,1,Tires,INFORMATION,no purpose,0,0,0
1Tires,1,Tires,INFORMATION,not enough info,0,0,0
1Tires,1,Tires,INFORMATION,too much info,0,0,0
1Tires,1,Tires,EMPHASIS,likes emphasis,0,0,0
1Tires,1,Tires,EMPHASIS,disliked emphasis,0,0,0
1Holiday,1,Holiday,COLOR,likes color,1,0,0
1Holiday,1,Holiday,COLOR,clear color,0,0,0
1Holiday,1,Holiday,COLOR,disliked color,0,0,1
1Holiday,1,Holiday,COLOR,not enough colors,0,0,0
1Holiday,1,Holiday,COLOR,too many colors,0,0,0
1Holiday,1,Holiday,AESTHETIC,likes aesthetic,0,0,0
1Holiday,1,Holiday,AESTHETIC,easy to read,0,0,0
1Holiday,1,Holiday,AESTHETIC,professional,0,0,0
1Holiday,1,Holiday,AESTHETIC,disliked aesthetic,1,0,0
1Holiday,1,Holiday,AESTHETIC,unprofessional,0,0,0
1Holiday,1,Holiday,AESTHETIC,cluttered,0,0,0
1Holiday,1,Holiday,AESTHETIC,boring,0,0,0
1Holiday,1,Holiday,INFORMATION,likes info,0,0,0
1Holiday,1,Holiday,INFORMATION,clear info,0,0,0
1Holiday,1,Holiday,INFORMATION,has purpose,0,0,0
1Holiday,1,Holiday,INFORMATION,disliked info,0,0,0
1Holiday,1,Holiday,INFORMATION,no purpose,0,0,0
1Holiday,1,Holiday,INFORMATION,not enough info,0,0,0
1Holiday,1,Holiday,INFORMATION,too much info,0,0,0
1Holiday,1,Holiday,EMPHASIS,likes emphasis,0,0,0
1Holiday,1,Holiday,EMPHASIS,disliked emphasis,0,0,0
1Car,1,Car,COLOR,likes color,0,0,0
1Car,1,Car,COLOR,clear color,0,0,0
1Car,1,Car,COLOR,disliked color,0,0,0
1Car,1,Car,COLOR,not enough colors,0,0,0
1Car,1,Car,COLOR,too many colors,0,0,0
1Car,1,Car,AESTHETIC,likes aesthetic,0,1,0
1Car,1,Car,AESTHETIC,easy to read,0,1,0
1Car,1,Car,AESTHETIC,professional,0,0,0
1Car,1,Car,AESTHETIC,disliked aesthetic,1,0,0
1Car,1,Car,AESTHETIC,unprofessional,0,0,0
1Car,1,Car,AESTHETIC,cluttered,0,0,0
1Car,1,Car,AESTHETIC,boring,0,0,0
1Car,1,Car,INFORMATION,likes info,0,0,0
1Car,1,Car,INFORMATION,clear info,0,0,0
1Car,1,Car,INFORMATION,has purpose,0,0,0
1Car,1,Car,INFORMATION,disliked info,0,0,0
1Car,1,Car,INFORMATION,no purpose,0,0,0
1Car,1,Car,INFORMATION,not enough info,0,0,0
1Car,1,Car,INFORMATION,too much info,0,0,0
1Car,1,Car,EMPHASIS,likes emphasis,0,0,1
1Car,1,Car,EMPHASIS,disliked emphasis,0,0,0
1Plant,1,Plant,COLOR,likes color,0,0,0
1Plant,1,Plant,COLOR,clear color,0,0,0
1Plant,1,Plant,COLOR,disliked color,0,0,0
1Plant,1,Plant,COLOR,not enough colors,0,0,0
1Plant,1,Plant,COLOR,too many colors,0,0,0
1Plant,1,Plant,AESTHETIC,likes aesthetic,0,0,1
1Plant,1,Plant,AESTHETIC,easy to read,0,0,1
1Plant,1,Plant,AESTHETIC,professional,0,0,0
1Plant,1,Plant,AESTHETIC,disliked aesthetic,0,0,0
1Plant,1,Plant,AESTHETIC,unprofessional,0,0,0
1Plant,1,Plant,AESTHETIC,cluttered,0,0,0
1Plant,1,Plant,AESTHETIC,boring,0,0,0
1Plant,1,Plant,INFORMATION,likes info,0,0,0
1Plant,1,Plant,INFORMATION,clear info,0,0,0
1Plant,1,Plant,INFORMATION,has purpose,0,0,0
1Plant,1,Plant,INFORMATION,disliked info,1,0,0
1Plant,1,Plant,INFORMATION,no purpose,0,0,0
1Plant,1,Plant,INFORMATION,not enough info,0,0,0
