topic,design,question,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
Prison,Cluttered,Aesthetic,4,3,4,2,3,2,5,2,5,5,1,2,2,3,4,4,2
Prison,Cluttered,Clarity,5,5,5,1,3,3,5,5,5,3,4,2,5,5,5,4,3
Prison,Cluttered,Professionalism,5,4,4,1,1,2,5,2,4,3,2,1,2,2,5,3,2
Prison,Cluttered,Trustworthiness,5,4,5,1,4,2,5,5,3,3,5,4,4,3,5,4,2
Prison,Decluttered,Aesthetic,4,4,4,3,2,3,5,4,1,3,5,2,4,5,5,3,4
Prison,Decluttered,Clarity,5,5,5,3,3,5,5,5,5,5,5,3,5,5,5,3,5
Prison,Decluttered,Professionalism,4,5,5,2,3,4,5,4,3,5,5,3,5,5,5,3,5
Prison,Decluttered,Trustworthiness,4,5,5,3,5,4,5,5,3,5,5,3,4,5,5,3,4
Prison,Focused,Aesthetic,5,4,5,4,4,4,5,4,3,4,5,5,4,5,5,4,3
Prison,Focused,Clarity,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Prison,Focused,Professionalism,5,4,5,3,4,4,5,5,3,5,5,5,5,5,5,4,2
Prison,Focused,Trustworthiness,4,5,5,3,5,5,5,5,1,5,5,5,5,5,5,4,2
News,Cluttered,Aesthetic,4,2,5,2,3,2,3,2,5,3,4,2,1,1,2,3,2
News,Cluttered,Clarity,5,5,4,4,4,4,4,3,4,5,5,2,5,4,3,3,3
News,Cluttered,Professionalism,4,1,4,2,4,2,4,1,4,4,4,2,1,1,4,4,4
News,Cluttered,Trustworthiness,4,3,5,3,5,3,5,3,3,5,5,5,2,4,4,4,4
News,Decluttered,Aesthetic,4,4,3,3,3,3,5,4,3,3,4,4,4,3,3,3,5
News,Decluttered,Clarity,5,5,5,2,4,3,4,4,5,4,5,4,5,4,3,5,4
News,Decluttered,Professionalism,5,5,5,2,3,3,4,4,4,4,5,4,5,5,3,4,3
News,Decluttered,Trustworthiness,5,5,5,3,3,3,5,5,5,4,5,5,4,3,3,4,3
News,Focused,Aesthetic,5,4,5,5,5,4,5,4,2,3,5,5,4,5,5,4,5
News,Focused,Clarity,5,5,4,5,5,5,5,5,2,4,5,5,5,5,5,5,5
News,Focused,Professionalism,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,4,4
News,Focused,Trustworthiness,4,5,5,4,5,4,5,5,2,4,5,2,4,5,3,4,3
Holiday,Cluttered,Aesthetic,2,1,5,1,3,1,3,2,5,5,3,2,1,1,3,4,2
Holiday,Cluttered,Clarity,5,5,5,3,3,2,5,4,5,3,5,2,5,3,1,4,3
Holiday,Cluttered,Professionalism,1,1,5,2,1,1,3,1,2,4,3,1,1,1,1,3,2
Holiday,Cluttered,Trustworthiness,2,2,5,2,2,2,4,2,2,4,3,1,2,1,1,3,3
Holiday,Decluttered,Aesthetic,2,3,5,3,2,3,4,4,1,1,4,3,4,4,4,3,3
Holiday,Decluttered,Clarity,5,5,5,4,4,4,4,3,4,3,4,2,5,4,5,5,2
Holiday,Decluttered,Professionalism,2,4,5,3,2,3,4,3,2,3,4,3,5,4,5,4,2
Holiday,Decluttered,Trustworthiness,2,4,5,3,1,3,5,2,2,3,4,3,5,3,4,4,2
Holiday,Focused,Aesthetic,5,4,4,4,3,5,5,5,4,5,5,4,4,5,4,4,4
Holiday,Focused,Clarity,5,5,5,2,3,5,5,4,5,4,5,5,5,5,4,5,3
Holiday,Focused,Professionalism,4,4,5,2,3,4,5,5,1,4,4,5,2,5,4,4,2
Holiday,Focused,Trustworthiness,2,4,5,3,2,4,5,2,4,4,4,5,4,5,4,4,2
Plants,Cluttered,Aesthetic,2,1,4,2,4,1,2,2,5,4,2,4,2,2,1,3,2
Plants,Cluttered,Clarity,5,1,1,2,4,1,1,2,1,4,4,1,1,1,1,4,3
Plants,Cluttered,Professionalism,2,1,3,2,3,1,1,2,4,4,1,2,2,1,1,3,1
Plants,Cluttered,Trustworthiness,2,2,5,2,3,1,1,3,4,4,3,3,2,2,1,3,2
Plants,Decluttered,Aesthetic,2,3,3,1,2,2,4,4,1,2,2,1,4,3,1,2,1
Plants,Decluttered,Clarity,1,2,1,1,2,1,1,2,1,2,3,1,1,1,1,3,1
Plants,Decluttered,Professionalism,1,1,4,1,1,1,2,2,1,3,2,1,4,3,1,3,4
Plants,Decluttered,Trustworthiness,2,3,4,2,2,2,1,3,1,3,2,1,3,2,1,3,2
Plants,Focused,Aesthetic,4,4,4,4,4,4,4,3,3,4,5,4,4,5,2,3,3
Plants,Focused,Clarity,5,1,2,2,3,2,2,2,1,3,3,5,1,5,1,4,3
Plants,Focused,Professionalism,5,2,5,2,4,4,2,4,1,3,4,5,2,5,3,3,3
Plants,Focused,Trustworthiness,4,4,5,3,3,4,2,3,1,2,3,4,3,3,3,3,2
Car,Cluttered,Aesthetic,2,1,2,1,1,1,3,2,5,2,2,1,1,1,1,4,1
